,dxv,cur_sl_pl,stop_loss,tot_price_pl,triggered,invested,active,cur_price_pl,enter_price,tot_sl_pl
511,,,,,False,,False,,,
512,,,,,False,,False,,,
513,,,,,False,,False,,,
514,,,,,False,,False,,,
515,,,,,False,,False,,,
516,,,,,False,,False,,,
517,,,,,False,,False,,,
518,,,,,False,,False,,,
519,,,,,False,,False,,,
520,,,,,False,,False,,,
521,,,,,False,,False,,,
522,,,,,False,,False,,,
523,,,,,False,,False,,,
524,,,,,False,,False,,,
525,,,,,False,,False,,,
526,,,,,False,,False,,,
527,,,,,False,,False,,,
528,,,,,False,,False,,,
529,64.3062404987,,6494.9302903687,,False,,True,,6430.62404987,
530,64.3062404987,,6494.9302903687,,False,,True,,6430.62404987,
531,64.3062404987,,6494.9302903687,,False,,True,,6430.62404987,
532,64.3062404987,,6494.9302903687,,False,,True,,6430.62404987,
533,64.3062404987,,6494.9302903687,,False,,True,,6430.62404987,
534,64.3062404987,,6494.9302903687,,True,,True,,6430.62404987,
535,,,,,False,,False,,,
536,,,,,False,,False,,,
537,,,,,False,,False,,,
538,,,,,False,,False,,,
539,,,,,False,,False,,,
540,,,,,False,,False,,,
541,,,,,False,,False,,,
542,,,,,False,,False,,,
543,,,,,False,,False,,,
544,,,,,False,,False,,,
545,,,,,False,,False,,,
546,,,,,False,,False,,,
547,,,,,False,,False,,,
548,,,,,False,,False,,,
549,,,,,False,,False,,,
550,,,,,False,,False,,,
551,64.62,,6526.62,,False,,True,,6462.0,
552,64.62,,6515.15904908,,False,,True,,6462.0,
553,64.62,,6515.15904908,,False,,True,,6462.0,
554,64.62,,6515.15904908,,False,,True,,6462.0,
555,64.62,,6515.15904908,,False,,True,,6462.0,
556,64.62,,6515.15904908,,False,,True,,6462.0,
557,64.62,,6515.15904908,,False,,True,,6462.0,
558,64.62,,6515.15904908,,False,,True,,6462.0,
559,64.62,,6515.15904908,,False,,True,,6462.0,
560,64.62,,6515.15904908,,False,,True,,6462.0,
561,64.62,,6515.15904908,,True,,True,,6462.0,
562,,,,,False,,False,,,
563,,,,,False,,False,,,
564,,,,,False,,False,,,
565,,,,,False,,False,,,
566,,,,,False,,False,,,
567,64.1881608227,,6483.004243092701,,False,,True,,6418.81608227,
568,64.1881608227,,6325.5581608227,,False,,True,,6418.81608227,
569,64.1881608227,,6325.5581608227,,False,,True,,6418.81608227,
570,64.1881608227,,6325.5581608227,,False,,True,,6418.81608227,
571,64.1881608227,,6311.7345212227,,False,,True,,6418.81608227,
572,64.1881608227,,6311.7345212227,,False,,True,,6418.81608227,
573,64.1881608227,,6311.7345212227,,False,,True,,6418.81608227,
574,64.1881608227,,6306.8872612627,,False,,True,,6418.81608227,
575,64.1881608227,,6306.8872612627,,False,,True,,6418.81608227,
576,64.1881608227,,6306.8872612627,,False,,True,,6418.81608227,
577,64.1881608227,,6306.8872612627,,False,,True,,6418.81608227,
578,64.1881608227,,6306.8872612627,,False,,True,,6418.81608227,
579,64.1881608227,,6306.8872612627,,True,,True,,6418.81608227,
580,,,,,False,,False,,,
581,,,,,False,,False,,,
582,,,,,False,,False,,,
583,,,,,False,,False,,,
584,,,,,False,,False,,,
585,,,,,False,,False,,,
586,,,,,False,,False,,,
587,,,,,False,,False,,,
588,,,,,False,,False,,,
589,,,,,False,,False,,,
590,62.8665816699,,6349.5247486599,,False,,True,,6286.65816699,
591,62.8665816699,,6349.5247486599,,False,,True,,6286.65816699,
592,62.8665816699,,6349.5247486599,,False,,True,,6286.65816699,
593,62.8665816699,,6349.5247486599,,False,,True,,6286.65816699,
594,62.8665816699,,6349.5247486599,,True,,True,,6286.65816699,
595,,,,,False,,False,,,
596,,,,,False,,False,,,
597,,,,,False,,False,,,
